context_id,context_group,label,metric_value,unit,data_type,source_data_type,source_file,limitation
spatial_high_high,spatial_heat,High opportunity / High heat concern,2667,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_high_insufficient evidence,spatial_heat,High opportunity / Insufficient evidence heat concern,128,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_high_low_moderate,spatial_heat,High opportunity / Low/Moderate heat concern,501,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_low_high,spatial_heat,Low opportunity / High heat concern,2846,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_low_insufficient evidence,spatial_heat,Low opportunity / Insufficient evidence heat concern,33,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_low_low_moderate,spatial_heat,Low opportunity / Low/Moderate heat concern,418,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_medium_high,spatial_heat,Medium opportunity / High heat concern,2787,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_medium_insufficient evidence,spatial_heat,Medium opportunity / Insufficient evidence heat concern,61,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
spatial_medium_low_moderate,spatial_heat,Medium opportunity / Low/Moderate heat concern,448,locations,derived,derived,spatial_heat_locations.csv,"Exploratory POI/heat context, not verified stadium vendor placement evidence."
business_scenario_avoided,business_scenario,Synthetic business zones: Avoided,11,zones,derived,synthetic,finalflow_business_integration.csv,"Synthetic coordinates, scores, and classifications; not observed placement recommendations."
business_scenario_controlled,business_scenario,Synthetic business zones: Controlled,32,zones,derived,synthetic,finalflow_business_integration.csv,"Synthetic coordinates, scores, and classifications; not observed placement recommendations."
business_scenario_recommended,business_scenario,Synthetic business zones: Recommended,7,zones,derived,synthetic,finalflow_business_integration.csv,"Synthetic coordinates, scores, and classifications; not observed placement recommendations."
